date,region,death_cnt,case_cnt,day_since100
2020-03-11,Turkey,0,1,-8
2020-03-12,Turkey,0,1,-7
2020-03-13,Turkey,0,5,-6
2020-03-14,Turkey,0,5,-5
2020-03-15,Turkey,0,6,-4
2020-03-16,Turkey,0,18,-3
2020-03-17,Turkey,1,47,-2
2020-03-18,Turkey,1,98,-1
2020-03-19,Turkey,3,192,0
2020-03-20,Turkey,4,359,1
2020-03-21,Turkey,9,670,2
2020-03-22,Turkey,30,1236,3
2020-03-23,Turkey,37,1529,4
2020-03-24,Turkey,44,1872,5
2020-03-25,Turkey,59,2433,6
2020-03-26,Turkey,75,3629,7
2020-03-27,Turkey,92,5698,8
2020-03-28,Turkey,108,7402,9
2020-03-29,Turkey,131,9217,10
2020-03-30,Turkey,168,10827,11
2020-03-31,Turkey,214,13531,12
2020-04-01,Turkey,277,15679,13
2020-04-02,Turkey,356,18135,14
2020-04-03,Turkey,425,20921,15
2020-04-04,Turkey,501,23934,16
2020-04-05,Turkey,574,27069,17
2020-04-06,Turkey,649,30217,18
2020-04-07,Turkey,725,34109,19
2020-04-08,Turkey,812,38226,20
2020-04-09,Turkey,908,42282,21
2020-04-10,Turkey,1006,47029,22
2020-04-11,Turkey,1101,52167,23
2020-04-12,Turkey,1198,56956,24
2020-04-13,Turkey,1296,61049,25
2020-04-14,Turkey,1403,65111,26
2020-04-15,Turkey,1518,69392,27
2020-04-16,Turkey,1643,74193,28
2020-04-17,Turkey,1769,78546,29
2020-04-18,Turkey,1890,82329,30
2020-04-19,Turkey,2017,86306,31
2020-04-20,Turkey,2140,90980,32
2020-04-21,Turkey,2259,95591,33
2020-04-22,Turkey,2376,98674,34
2020-04-23,Turkey,2491,101790,35
2020-04-24,Turkey,2600,104912,36
2020-04-25,Turkey,2706,107773,37
2020-04-26,Turkey,2805,110130,38
2020-04-27,Turkey,2900,112261,39
2020-04-28,Turkey,2992,114653,40
2020-04-29,Turkey,3081,117589,41
2020-04-30,Turkey,3174,120204,42
2020-05-01,Turkey,3258,122392,43
2020-05-02,Turkey,3336,124375,44
2020-05-03,Turkey,3397,126045,45
2020-05-04,Turkey,3461,127659,46
2020-05-05,Turkey,3520,129491,47
2020-05-06,Turkey,3584,131744,48
2020-05-07,Turkey,3641,133721,49
2020-05-08,Turkey,3689,135569,50
2020-05-09,Turkey,3739,137115,51
2020-05-10,Turkey,3786,138657,52
2020-05-11,Turkey,3841,139771,53
2020-05-12,Turkey,3894,141475,54
2020-05-13,Turkey,3952,143114,55
2020-05-14,Turkey,4007,144749,56
