Day,death_cnt,case_cnt
2020-03-11,0.0,1.0
2020-03-12,0.0,1.0
2020-03-13,0.0,5.0
2020-03-14,0.0,5.0
2020-03-15,0.0,6.0
2020-03-16,0.0,18.0
2020-03-17,1.0,47.0
2020-03-18,1.0,98.0
2020-03-19,3.0,192.0
2020-03-20,4.0,359.0
2020-03-21,9.0,670.0
2020-03-22,30.0,1236.0
2020-03-23,37.0,1529.0
2020-03-24,44.0,1872.0
2020-03-25,59.0,2433.0
2020-03-26,75.0,3629.0
2020-03-27,92.0,5698.0
2020-03-28,108.0,7402.0
2020-03-29,131.0,9217.0
2020-03-30,168.0,10827.0
2020-03-31,214.0,13531.0
2020-04-01,277.0,15679.0
2020-04-02,356.0,18135.0
2020-04-03,425.0,20921.0
2020-04-04,501.0,23934.0
2020-04-05,574.0,27069.0
2020-04-06,649.0,30217.0
2020-04-07,725.0,34109.0
2020-04-08,812.0,38226.0
2020-04-09,908.0,42282.0
2020-04-10,1006.0,47029.0
2020-04-11,1101.0,52167.0
2020-04-12,1198.0,56956.0
2020-04-13,1296.0,61049.0
2020-04-14,1403.0,65111.0
2020-04-15,1518.0,69392.0
2020-04-16,1643.0,74193.0
2020-04-17,1769.0,78546.0
2020-04-18,1890.0,82329.0
2020-04-19,2017.0,86306.0
2020-04-20,2140.0,90980.0
2020-04-21,2259.0,95591.0
2020-04-22,2376.0,98674.0
2020-04-23,2491.0,101790.0
2020-04-24,2600.0,104912.0
2020-04-25,2706.0,107773.0
2020-04-26,2805.0,110130.0
2020-04-27,2900.0,112261.0
2020-04-28,2992.0,114653.0
2020-04-29,3081.0,117589.0
2020-04-30,3174.0,120204.0
2020-05-01,3258.0,122392.0
2020-05-02,3336.0,124375.0
2020-05-03,3397.0,126045.0
2020-05-04,3461.0,127659.0
2020-05-05,3520.0,129491.0
2020-05-06,3584.0,131744.0
2020-05-07,3641.0,133721.0
2020-05-08,3689.0,135569.0
2020-05-09,3739.0,137115.0
2020-05-10,3786.0,138657.0
2020-05-11,3841.0,139771.0
2020-05-12,3894.0,141475.0
2020-05-14,3959.838383838384,140654.59595959596
2020-05-15,3995.060606060606,141565.1717171717
2020-05-16,4027.949494949495,142409.42424242425
2020-05-17,4058.6464646464647,143191.19191919192
2020-05-18,4087.252525252525,143914.62626262626
2020-05-19,4113.888888888889,144583.72727272726
2020-05-20,4138.616161616162,145202.2626262626
2020-05-21,4161.616161616162,145773.49494949495
2020-05-22,4183.010101010101,146300.70707070708
2020-05-23,4202.767676767677,146786.60606060605
2020-05-24,4221.161616161616,147234.35353535353
2020-05-25,4238.242424242424,147646.65656565657
2020-05-26,4254.020202020202,148026.18181818182
2020-05-27,4268.666666666667,148375.39393939395
2020-05-28,4282.131313131313,148696.49494949495
2020-05-29,4294.585858585859,148991.46464646465
2020-05-30,4306.19191919192,149262.36363636365
2020-05-31,4316.868686868687,149511.0303030303
2020-06-01,4326.737373737374,149739.1717171717
2020-06-02,4335.80808080808,149948.40404040404
2020-06-03,4344.181818181818,150140.29292929292
2020-06-04,4351.949494949495,150316.24242424243
2020-06-05,4359.040404040404,150477.33333333334
2020-06-06,4365.707070707071,150624.85858585857
2020-06-07,4371.767676767677,150759.81818181818
2020-06-08,4377.333333333333,150883.39393939395
2020-06-09,4382.525252525253,150996.50505050505
2020-06-10,4387.232323232323,151099.898989899
2020-06-11,4391.565656565656,151194.43434343435
2020-06-12,4395.646464646465,151280.85858585857
2020-06-13,4399.343434343435,151359.8383838384
2020-06-14,4402.757575757576,151432.0404040404
2020-06-15,4405.858585858586,151497.9393939394
2020-06-16,4408.818181818182,151558.101010101
2020-06-17,4411.454545454545,151613.0909090909
2020-06-18,4413.939393939394,151663.28282828283
2020-06-19,4416.20202020202,151709.0707070707
2020-06-20,4418.343434343435,151750.8383838384
2020-06-21,4420.212121212121,151788.9797979798
2020-06-22,4421.969696969697,151823.72727272726
2020-06-23,4423.575757575758,151855.45454545456
2020-06-24,4425.10101010101,151884.37373737374
2020-06-25,4426.49494949495,151910.70707070708
2020-06-26,4427.737373737374,151934.80808080808
2020-06-27,4428.909090909091,151956.70707070708
2020-06-28,4430.0,151976.72727272726
2020-06-29,4431.060606060606,151994.9292929293
