Day,Continent,Country,Province,daily_cases sim0,daily_cases sim1,daily_cases sim2,daily_cases sim3,daily_cases sim4,daily_cases sim5,daily_cases sim6,daily_cases sim7,daily_cases sim8,daily_cases sim9,daily_cases sim10,daily_cases sim11,daily_cases sim12,daily_cases sim13,daily_cases sim14,daily_cases sim15,daily_cases sim16,daily_cases sim17,daily_cases sim18,daily_cases sim19,daily_cases sim20,daily_cases sim21,daily_cases sim22,daily_cases sim23,daily_cases sim24,daily_cases sim25,daily_cases sim26,daily_cases sim27,daily_cases sim28,daily_cases sim29,daily_cases sim30,daily_cases sim31,daily_cases sim32,daily_cases sim33,daily_cases sim34,daily_cases sim35,daily_cases sim36,daily_cases sim37,daily_cases sim38,daily_cases sim39,daily_cases sim40,daily_cases sim41,daily_cases sim42,daily_cases sim43,daily_cases sim44,daily_cases sim45,daily_cases sim46,daily_cases sim47,daily_cases sim48,daily_cases sim49,daily_cases sim50,daily_cases sim51,daily_cases sim52,daily_cases sim53,daily_cases sim54,daily_cases sim55,daily_cases sim56,daily_cases sim57,daily_cases sim58,daily_cases sim59,daily_cases sim60,daily_cases sim61,daily_cases sim62,daily_cases sim63,daily_cases sim64,daily_cases sim65,daily_cases sim66,daily_cases sim67,daily_cases sim68,daily_cases sim69,daily_cases sim70,daily_cases sim71,daily_cases sim72,daily_cases sim73,daily_cases sim74,daily_cases sim75,daily_cases sim76,daily_cases sim77,daily_cases sim78,daily_cases sim79,daily_cases sim80,daily_cases sim81,daily_cases sim82,daily_cases sim83,daily_cases sim84,daily_cases sim85,daily_cases sim86,daily_cases sim87,daily_cases sim88,daily_cases sim89,daily_cases sim90,daily_cases sim91,daily_cases sim92,daily_cases sim93,daily_cases sim94,daily_cases sim95,daily_cases sim96,daily_cases sim97,daily_cases sim98,daily_cases sim99
2020-05-15,Europe,Turkey,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-16,Europe,Turkey,None,392.0,707.0,2367.0,1086.0,1303.0,2252.0,691.0,667.0,2082.0,3540.0,5433.0,675.0,5324.0,1544.0,2966.0,2195.0,855.0,1337.0,3159.0,746.0,803.0,4.0,4152.0,816.0,1.0,1846.0,758.0,2.0,1038.0,5229.0,929.0,5293.0,1.0,806.0,9.0,2441.0,4143.0,2941.0,786.0,1362.0,2908.0,870.0,4043.0,774.0,480.0,832.0,2568.0,1262.0,1800.0,4185.0,3.0,1337.0,835.0,3850.0,2039.0,1503.0,1711.0,42.0,3911.0,2.0,1353.0,913.0,3730.0,1484.0,5025.0,791.0,1776.0,1126.0,1648.0,0.0,2447.0,3682.0,2265.0,2396.0,0.0,1458.0,297.0,791.0,1618.0,1.0,733.0,979.0,5189.0,122.0,3053.0,2199.0,1580.0,2.0,781.0,3694.0,1755.0,7.0,8.0,2889.0,2334.0,3343.0,1644.0,1917.0,203.0,2535.0
2020-05-17,Europe,Turkey,None,357.0,644.0,2274.0,1017.0,1223.0,2161.0,629.0,603.0,1991.0,3459.0,5410.0,611.0,5297.0,1461.0,2878.0,2104.0,791.0,1261.0,3072.0,685.0,739.0,4.0,4086.0,752.0,1.0,1757.0,694.0,1.0,967.0,5198.0,863.0,5265.0,0.0,742.0,8.0,2349.0,4086.0,2852.0,725.0,1287.0,2822.0,807.0,3975.0,714.0,434.0,770.0,2479.0,1186.0,1713.0,4119.0,2.0,1259.0,771.0,3775.0,1949.0,1419.0,1637.0,38.0,3837.0,1.0,1274.0,850.0,3652.0,1400.0,4986.0,727.0,1688.0,1051.0,1563.0,0.0,2357.0,3613.0,2184.0,2305.0,0.0,1376.0,254.0,728.0,1533.0,1.0,670.0,935.0,5157.0,113.0,2968.0,2108.0,1499.0,1.0,720.0,3618.0,1666.0,7.0,7.0,2801.0,2243.0,3260.0,1565.0,1828.0,193.0,2445.0
2020-05-18,Europe,Turkey,None,323.0,585.0,2185.0,953.0,1149.0,2071.0,572.0,546.0,1902.0,3378.0,5381.0,552.0,5266.0,1382.0,2790.0,2014.0,731.0,1190.0,2984.0,626.0,680.0,4.0,4018.0,692.0,0.0,1670.0,634.0,1.0,899.0,5163.0,802.0,5231.0,1.0,680.0,8.0,2260.0,4025.0,2764.0,667.0,1215.0,2733.0,748.0,3903.0,657.0,394.0,710.0,2388.0,1113.0,1629.0,4051.0,1.0,1186.0,709.0,3701.0,1860.0,1340.0,1565.0,35.0,3762.0,1.0,1198.0,791.0,3573.0,1321.0,4943.0,665.0,1604.0,981.0,1479.0,0.0,2267.0,3544.0,2103.0,2215.0,0.0,1298.0,218.0,668.0,1451.0,1.0,610.0,893.0,5121.0,105.0,2882.0,2019.0,1422.0,1.0,660.0,3542.0,1581.0,5.0,6.0,2714.0,2154.0,3175.0,1487.0,1742.0,183.0,2354.0
2020-05-19,Europe,Turkey,None,290.0,533.0,2096.0,891.0,1077.0,1982.0,517.0,493.0,1817.0,3295.0,5348.0,499.0,5228.0,1304.0,2702.0,1927.0,675.0,1120.0,2898.0,573.0,626.0,3.0,3946.0,637.0,1.0,1586.0,577.0,1.0,837.0,5123.0,743.0,5195.0,0.0,623.0,7.0,2171.0,3962.0,2676.0,613.0,1146.0,2642.0,692.0,3829.0,599.0,357.0,653.0,2299.0,1042.0,1548.0,3979.0,2.0,1117.0,650.0,3622.0,1773.0,1264.0,1495.0,31.0,3687.0,1.0,1126.0,739.0,3494.0,1244.0,4896.0,608.0,1521.0,914.0,1399.0,0.0,2177.0,3474.0,2025.0,2126.0,0.0,1223.0,186.0,607.0,1374.0,1.0,555.0,852.0,5079.0,98.0,2797.0,1932.0,1348.0,1.0,605.0,3464.0,1500.0,5.0,5.0,2626.0,2067.0,3090.0,1413.0,1658.0,173.0,2265.0
2020-05-20,Europe,Turkey,None,261.0,483.0,2010.0,833.0,1009.0,1897.0,469.0,444.0,1732.0,3211.0,5312.0,449.0,5189.0,1231.0,2615.0,1841.0,623.0,1056.0,2812.0,521.0,577.0,3.0,3872.0,586.0,0.0,1506.0,528.0,1.0,777.0,5079.0,687.0,5154.0,0.0,570.0,5.0,2084.0,3895.0,2587.0,561.0,1080.0,2555.0,639.0,3753.0,550.0,320.0,599.0,2213.0,975.0,1470.0,3908.0,1.0,1050.0,598.0,3544.0,1690.0,1190.0,1428.0,29.0,3610.0,0.0,1056.0,690.0,3414.0,1172.0,4845.0,555.0,1442.0,852.0,1322.0,0.0,2091.0,3401.0,1947.0,2040.0,0.0,1150.0,159.0,552.0,1298.0,1.0,505.0,813.0,5035.0,90.0,2709.0,1849.0,1277.0,1.0,555.0,3385.0,1420.0,5.0,5.0,2538.0,1983.0,3005.0,1342.0,1578.0,166.0,2179.0
2020-05-21,Europe,Turkey,None,237.0,437.0,1925.0,777.0,943.0,1813.0,423.0,400.0,1652.0,3129.0,5272.0,403.0,5145.0,1160.0,2528.0,1758.0,574.0,993.0,2725.0,473.0,531.0,2.0,3797.0,540.0,0.0,1429.0,482.0,1.0,723.0,5032.0,634.0,5109.0,0.0,523.0,6.0,2000.0,3825.0,2500.0,512.0,1017.0,2470.0,588.0,3676.0,505.0,289.0,551.0,2127.0,913.0,1396.0,3834.0,1.0,988.0,548.0,3465.0,1609.0,1120.0,1364.0,26.0,3531.0,1.0,992.0,642.0,3333.0,1101.0,4792.0,507.0,1366.0,793.0,1249.0,0.0,2007.0,3327.0,1872.0,1954.0,1.0,1081.0,134.0,505.0,1225.0,1.0,461.0,773.0,4986.0,84.0,2624.0,1766.0,1209.0,1.0,512.0,3306.0,1345.0,4.0,4.0,2451.0,1901.0,2920.0,1273.0,1500.0,157.0,2093.0
2020-05-22,Europe,Turkey,None,213.0,395.0,1844.0,726.0,883.0,1732.0,383.0,360.0,1573.0,3044.0,5229.0,362.0,5098.0,1093.0,2443.0,1677.0,528.0,934.0,2638.0,430.0,486.0,2.0,3722.0,497.0,0.0,1353.0,439.0,1.0,671.0,4983.0,585.0,5061.0,0.0,479.0,5.0,1917.0,3756.0,2414.0,470.0,957.0,2385.0,542.0,3598.0,464.0,261.0,507.0,2044.0,854.0,1323.0,3760.0,1.0,927.0,505.0,3383.0,1530.0,1053.0,1302.0,24.0,3453.0,0.0,929.0,596.0,3250.0,1034.0,4736.0,463.0,1293.0,738.0,1178.0,0.0,1923.0,3254.0,1799.0,1872.0,0.0,1015.0,115.0,461.0,1155.0,1.0,419.0,735.0,4935.0,78.0,2539.0,1685.0,1144.0,1.0,469.0,3226.0,1271.0,3.0,4.0,2366.0,1819.0,2836.0,1208.0,1423.0,149.0,2010.0
2020-05-23,Europe,Turkey,None,190.0,357.0,1763.0,678.0,824.0,1653.0,344.0,322.0,1497.0,2961.0,5181.0,325.0,5047.0,1030.0,2358.0,1599.0,487.0,877.0,2553.0,391.0,444.0,2.0,3644.0,457.0,1.0,1281.0,399.0,0.0,623.0,4928.0,539.0,5010.0,1.0,438.0,4.0,1836.0,3685.0,2328.0,431.0,899.0,2300.0,499.0,3519.0,424.0,235.0,465.0,1962.0,797.0,1254.0,3683.0,1.0,870.0,463.0,3303.0,1455.0,989.0,1242.0,21.0,3372.0,1.0,870.0,551.0,3169.0,971.0,4678.0,421.0,1222.0,685.0,1110.0,0.0,1843.0,3179.0,1727.0,1791.0,0.0,954.0,97.0,416.0,1090.0,0.0,380.0,701.0,4881.0,72.0,2457.0,1607.0,1081.0,0.0,429.0,3146.0,1201.0,3.0,3.0,2282.0,1739.0,2751.0,1144.0,1351.0,141.0,1928.0
2020-05-24,Europe,Turkey,None,171.0,323.0,1684.0,631.0,770.0,1577.0,310.0,289.0,1423.0,2876.0,5132.0,291.0,4994.0,968.0,2275.0,1523.0,447.0,823.0,2468.0,356.0,405.0,2.0,3566.0,417.0,0.0,1211.0,362.0,1.0,575.0,4873.0,498.0,4956.0,0.0,400.0,4.0,1758.0,3613.0,2244.0,394.0,846.0,2213.0,460.0,3440.0,387.0,209.0,427.0,1882.0,744.0,1187.0,3606.0,0.0,816.0,423.0,3221.0,1381.0,929.0,1184.0,20.0,3293.0,0.0,815.0,513.0,3084.0,911.0,4616.0,382.0,1154.0,636.0,1045.0,0.0,1764.0,3105.0,1658.0,1713.0,0.0,894.0,81.0,378.0,1026.0,1.0,343.0,666.0,4824.0,66.0,2373.0,1532.0,1021.0,1.0,391.0,3067.0,1133.0,3.0,3.0,2199.0,1662.0,2666.0,1083.0,1282.0,134.0,1848.0
