Day,Continent,Country,Province,total_cases sim0,total_cases sim1,total_cases sim2,total_cases sim3,total_cases sim4,total_cases sim5,total_cases sim6,total_cases sim7,total_cases sim8,total_cases sim9,total_cases sim10,total_cases sim11,total_cases sim12,total_cases sim13,total_cases sim14,total_cases sim15,total_cases sim16,total_cases sim17,total_cases sim18,total_cases sim19,total_cases sim20,total_cases sim21,total_cases sim22,total_cases sim23,total_cases sim24,total_cases sim25,total_cases sim26,total_cases sim27,total_cases sim28,total_cases sim29,total_cases sim30,total_cases sim31,total_cases sim32,total_cases sim33,total_cases sim34,total_cases sim35,total_cases sim36,total_cases sim37,total_cases sim38,total_cases sim39,total_cases sim40,total_cases sim41,total_cases sim42,total_cases sim43,total_cases sim44,total_cases sim45,total_cases sim46,total_cases sim47,total_cases sim48,total_cases sim49,total_cases sim50,total_cases sim51,total_cases sim52,total_cases sim53,total_cases sim54,total_cases sim55,total_cases sim56,total_cases sim57,total_cases sim58,total_cases sim59,total_cases sim60,total_cases sim61,total_cases sim62,total_cases sim63,total_cases sim64,total_cases sim65,total_cases sim66,total_cases sim67,total_cases sim68,total_cases sim69,total_cases sim70,total_cases sim71,total_cases sim72,total_cases sim73,total_cases sim74,total_cases sim75,total_cases sim76,total_cases sim77,total_cases sim78,total_cases sim79,total_cases sim80,total_cases sim81,total_cases sim82,total_cases sim83,total_cases sim84,total_cases sim85,total_cases sim86,total_cases sim87,total_cases sim88,total_cases sim89,total_cases sim90,total_cases sim91,total_cases sim92,total_cases sim93,total_cases sim94,total_cases sim95,total_cases sim96,total_cases sim97,total_cases sim98,total_cases sim99
2020-05-15,Europe,Turkey,None,103197.0,142984.0,160751.0,146790.0,149999.0,159768.0,142890.0,142732.0,158178.0,170168.0,181714.0,143039.0,181383.0,152723.0,165657.0,159268.0,144062.0,149919.0,167345.0,143276.0,143580.0,17437.0,174115.0,143648.0,22620.0,155936.0,143332.0,6072.0,146634.0,180888.0,145008.0,181444.0,23698.0,143757.0,15426.0,161356.0,164534.0,165655.0,143474.0,149855.0,157087.0,144304.0,173482.0,143354.0,117323.0,143917.0,162422.0,149290.0,155404.0,174074.0,19427.0,150074.0,143931.0,172087.0,157832.0,152301.0,152334.0,21163.0,172268.0,20946.0,150584.0,144256.0,171355.0,152085.0,179422.0,143884.0,155213.0,147715.0,153900.0,67071.0,161426.0,170778.0,159049.0,161027.0,25995.0,151798.0,138512.0,143873.0,153533.0,4803.0,143140.0,82503.0,180823.0,29700.0,166485.0,159275.0,152642.0,4959.0,143381.0,170709.0,155006.0,16198.0,16014.0,165228.0,160445.0,168517.0,153206.0,156561.0,27614.0,162162.0
2020-05-16,Europe,Turkey,None,103589.0,143691.0,163118.0,147876.0,151302.0,162020.0,143581.0,143399.0,160260.0,173708.0,187147.0,143714.0,186707.0,154267.0,168623.0,161463.0,144917.0,151256.0,170504.0,144022.0,144383.0,17441.0,178267.0,144464.0,22621.0,157782.0,144090.0,6074.0,147672.0,186117.0,145937.0,186737.0,23699.0,144563.0,15435.0,163797.0,168677.0,168596.0,144260.0,151217.0,159995.0,145174.0,177525.0,144128.0,117803.0,144749.0,164990.0,150552.0,157204.0,178259.0,19430.0,151411.0,144766.0,175937.0,159871.0,153804.0,154045.0,21205.0,176179.0,20948.0,151937.0,145169.0,175085.0,153569.0,184447.0,144675.0,156989.0,148841.0,155548.0,67071.0,163873.0,174460.0,161314.0,163423.0,25995.0,153256.0,138809.0,144664.0,155151.0,4804.0,143873.0,83482.0,186012.0,29822.0,169538.0,161474.0,154222.0,4961.0,144162.0,174403.0,156761.0,16205.0,16022.0,168117.0,162779.0,171860.0,154850.0,158478.0,27817.0,164697.0
2020-05-17,Europe,Turkey,None,103946.0,144335.0,165392.0,148893.0,152525.0,164181.0,144210.0,144002.0,162251.0,177167.0,192557.0,144325.0,192004.0,155728.0,171501.0,163567.0,145708.0,152517.0,173576.0,144707.0,145122.0,17445.0,182353.0,145216.0,22622.0,159539.0,144784.0,6075.0,148639.0,191315.0,146800.0,192002.0,23699.0,145305.0,15443.0,166146.0,172763.0,171448.0,144985.0,152504.0,162817.0,145981.0,181500.0,144842.0,118237.0,145519.0,167469.0,151738.0,158917.0,182378.0,19432.0,152670.0,145537.0,179712.0,161820.0,155223.0,155682.0,21243.0,180016.0,20949.0,153211.0,146019.0,178737.0,154969.0,189433.0,145402.0,158677.0,149892.0,157111.0,67071.0,166230.0,178073.0,163498.0,165728.0,25995.0,154632.0,139063.0,145392.0,156684.0,4805.0,144543.0,84417.0,191169.0,29935.0,172506.0,163582.0,155721.0,4962.0,144882.0,178021.0,158427.0,16212.0,16029.0,170918.0,165022.0,175120.0,156415.0,160306.0,28010.0,167142.0
2020-05-18,Europe,Turkey,None,104269.0,144920.0,167577.0,149846.0,153674.0,166252.0,144782.0,144548.0,164153.0,180545.0,197938.0,144877.0,197270.0,157110.0,174291.0,165581.0,146439.0,153707.0,176560.0,145333.0,145802.0,17449.0,186371.0,145908.0,22622.0,161209.0,145418.0,6076.0,149538.0,196478.0,147602.0,197233.0,23700.0,145985.0,15451.0,168406.0,176788.0,174212.0,145652.0,153719.0,165550.0,146729.0,185403.0,145499.0,118631.0,146229.0,169857.0,152851.0,160546.0,186429.0,19433.0,153856.0,146246.0,183413.0,163680.0,156563.0,157247.0,21278.0,183778.0,20950.0,154409.0,146810.0,182310.0,156290.0,194376.0,146067.0,160281.0,150873.0,158590.0,67071.0,168497.0,181617.0,165601.0,167943.0,25995.0,155930.0,139281.0,146060.0,158135.0,4806.0,145153.0,85310.0,196290.0,30040.0,175388.0,165601.0,157143.0,4963.0,145542.0,181563.0,160008.0,16217.0,16035.0,173632.0,167176.0,178295.0,157902.0,162048.0,28193.0,169496.0
2020-05-19,Europe,Turkey,None,104559.0,145453.0,169673.0,150737.0,154751.0,168234.0,145299.0,145041.0,165970.0,183840.0,203286.0,145376.0,202498.0,158414.0,176993.0,167508.0,147114.0,154827.0,179458.0,145906.0,146428.0,17452.0,190317.0,146545.0,22623.0,162795.0,145995.0,6077.0,150375.0,201601.0,148345.0,202428.0,23700.0,146608.0,15458.0,170577.0,180750.0,176888.0,146265.0,154865.0,168192.0,147421.0,189232.0,146098.0,118988.0,146882.0,172156.0,153893.0,162094.0,190408.0,19435.0,154973.0,146896.0,187035.0,165453.0,157827.0,158742.0,21309.0,187465.0,20951.0,155535.0,147549.0,185804.0,157534.0,199272.0,146675.0,161802.0,151787.0,159989.0,67071.0,170674.0,185091.0,167626.0,170069.0,25995.0,157153.0,139467.0,146667.0,159509.0,4807.0,145708.0,86162.0,201369.0,30138.0,178185.0,167533.0,158491.0,4964.0,146147.0,185027.0,161508.0,16222.0,16040.0,176258.0,169243.0,181385.0,159315.0,163706.0,28366.0,171761.0
2020-05-20,Europe,Turkey,None,104820.0,145936.0,171683.0,151570.0,155760.0,170131.0,145768.0,145485.0,167702.0,187051.0,208598.0,145825.0,207687.0,159645.0,179608.0,169349.0,147737.0,155883.0,182270.0,146427.0,147005.0,17455.0,194189.0,147131.0,22623.0,164301.0,146523.0,6078.0,151152.0,206680.0,149032.0,207582.0,23700.0,147178.0,15463.0,172661.0,184645.0,179475.0,146826.0,155945.0,170747.0,148060.0,192985.0,146648.0,119308.0,147481.0,174369.0,154868.0,163564.0,194316.0,19436.0,156023.0,147494.0,190579.0,167143.0,159017.0,160170.0,21338.0,191075.0,20951.0,156591.0,148239.0,189218.0,158706.0,204117.0,147230.0,163244.0,152639.0,161311.0,67071.0,172765.0,188492.0,169573.0,172109.0,25995.0,158303.0,139626.0,147219.0,160807.0,4808.0,146213.0,86975.0,206404.0,30228.0,180894.0,169382.0,159768.0,4965.0,146702.0,188412.0,162928.0,16227.0,16045.0,178796.0,171226.0,184390.0,160657.0,165284.0,28532.0,173940.0
2020-05-21,Europe,Turkey,None,105057.0,146373.0,173608.0,152347.0,156703.0,171944.0,146191.0,145885.0,169354.0,190180.0,213870.0,146228.0,212832.0,160805.0,182136.0,171107.0,148311.0,156876.0,184995.0,146900.0,147536.0,17457.0,197986.0,147671.0,22623.0,165730.0,147005.0,6079.0,151875.0,211712.0,149666.0,212691.0,23700.0,147701.0,15469.0,174661.0,188470.0,181975.0,147338.0,156962.0,173217.0,148648.0,196661.0,147153.0,119597.0,148032.0,176496.0,155781.0,164960.0,198150.0,19437.0,157011.0,148042.0,194044.0,168752.0,160137.0,161534.0,21364.0,194606.0,20952.0,157583.0,148881.0,192551.0,159807.0,208909.0,147737.0,164610.0,153432.0,162560.0,67071.0,174772.0,191819.0,171445.0,174063.0,25996.0,159384.0,139760.0,147724.0,162032.0,4809.0,146674.0,87748.0,211390.0,30312.0,183518.0,171148.0,160977.0,4966.0,147214.0,191718.0,164273.0,16231.0,16049.0,181247.0,173127.0,187310.0,161930.0,166784.0,28689.0,176033.0
2020-05-22,Europe,Turkey,None,105270.0,146768.0,175452.0,153073.0,157586.0,173676.0,146574.0,146245.0,170927.0,193224.0,219099.0,146590.0,217930.0,161898.0,184579.0,172784.0,148839.0,157810.0,187633.0,147330.0,148022.0,17459.0,201708.0,148168.0,22623.0,167083.0,147444.0,6080.0,152546.0,216695.0,150251.0,217752.0,23700.0,148180.0,15474.0,176578.0,192226.0,184389.0,147808.0,157919.0,175602.0,149190.0,200259.0,147617.0,119858.0,148539.0,178540.0,156635.0,166283.0,201910.0,19438.0,157938.0,148547.0,197427.0,170282.0,161190.0,162836.0,21388.0,198059.0,20952.0,158512.0,149477.0,195801.0,160841.0,213645.0,148200.0,165903.0,154170.0,163738.0,67071.0,176695.0,195073.0,173244.0,175935.0,25996.0,160399.0,139875.0,148185.0,163187.0,4810.0,147093.0,88483.0,216325.0,30390.0,186057.0,172833.0,162121.0,4967.0,147683.0,194944.0,165544.0,16234.0,16053.0,183613.0,174946.0,190146.0,163138.0,168207.0,28838.0,178043.0
2020-05-23,Europe,Turkey,None,105460.0,147125.0,177215.0,153751.0,158410.0,175329.0,146918.0,146567.0,172424.0,196185.0,224280.0,146915.0,222977.0,162928.0,186937.0,174383.0,149326.0,158687.0,190186.0,147721.0,148466.0,17461.0,205352.0,148625.0,22624.0,168364.0,147843.0,6080.0,153169.0,221623.0,150790.0,222762.0,23701.0,148618.0,15478.0,178414.0,195911.0,186717.0,148239.0,158818.0,177902.0,149689.0,203778.0,148041.0,120093.0,149004.0,180502.0,157432.0,167537.0,205593.0,19439.0,158808.0,149010.0,200730.0,171737.0,162179.0,164078.0,21409.0,201431.0,20953.0,159382.0,150028.0,198970.0,161812.0,218323.0,148621.0,167125.0,154855.0,164848.0,67071.0,178538.0,198252.0,174971.0,177726.0,25996.0,161353.0,139972.0,148601.0,164277.0,4810.0,147473.0,89184.0,221206.0,30462.0,188514.0,174440.0,163202.0,4967.0,148112.0,198090.0,166745.0,16237.0,16056.0,185895.0,176685.0,192897.0,164282.0,169558.0,28979.0,179971.0
2020-05-24,Europe,Turkey,None,105631.0,147448.0,178899.0,154382.0,159180.0,176906.0,147228.0,146856.0,173847.0,199061.0,229412.0,147206.0,227971.0,163896.0,189212.0,175906.0,149773.0,159510.0,192654.0,148077.0,148871.0,17463.0,208918.0,149042.0,22624.0,169575.0,148205.0,6081.0,153744.0,226496.0,151288.0,227718.0,23701.0,149018.0,15482.0,180172.0,199524.0,188961.0,148633.0,159664.0,180115.0,150149.0,207218.0,148428.0,120302.0,149431.0,182384.0,158176.0,168724.0,209199.0,19439.0,159624.0,149433.0,203951.0,173118.0,163108.0,165262.0,21429.0,204724.0,20953.0,160197.0,150541.0,202054.0,162723.0,222939.0,149003.0,168279.0,155491.0,165893.0,67071.0,180302.0,201357.0,176629.0,179439.0,25996.0,162247.0,140053.0,148979.0,165303.0,4811.0,147816.0,89850.0,226030.0,30528.0,190887.0,175972.0,164223.0,4968.0,148503.0,201157.0,167878.0,16240.0,16059.0,188094.0,178347.0,195563.0,165365.0,170840.0,29113.0,181819.0
