Day,Continent,Country,Province,total_deaths sim0,total_deaths sim1,total_deaths sim2,total_deaths sim3,total_deaths sim4,total_deaths sim5,total_deaths sim6,total_deaths sim7,total_deaths sim8,total_deaths sim9,total_deaths sim10,total_deaths sim11,total_deaths sim12,total_deaths sim13,total_deaths sim14,total_deaths sim15,total_deaths sim16,total_deaths sim17,total_deaths sim18,total_deaths sim19,total_deaths sim20,total_deaths sim21,total_deaths sim22,total_deaths sim23,total_deaths sim24,total_deaths sim25,total_deaths sim26,total_deaths sim27,total_deaths sim28,total_deaths sim29,total_deaths sim30,total_deaths sim31,total_deaths sim32,total_deaths sim33,total_deaths sim34,total_deaths sim35,total_deaths sim36,total_deaths sim37,total_deaths sim38,total_deaths sim39,total_deaths sim40,total_deaths sim41,total_deaths sim42,total_deaths sim43,total_deaths sim44,total_deaths sim45,total_deaths sim46,total_deaths sim47,total_deaths sim48,total_deaths sim49,total_deaths sim50,total_deaths sim51,total_deaths sim52,total_deaths sim53,total_deaths sim54,total_deaths sim55,total_deaths sim56,total_deaths sim57,total_deaths sim58,total_deaths sim59,total_deaths sim60,total_deaths sim61,total_deaths sim62,total_deaths sim63,total_deaths sim64,total_deaths sim65,total_deaths sim66,total_deaths sim67,total_deaths sim68,total_deaths sim69,total_deaths sim70,total_deaths sim71,total_deaths sim72,total_deaths sim73,total_deaths sim74,total_deaths sim75,total_deaths sim76,total_deaths sim77,total_deaths sim78,total_deaths sim79,total_deaths sim80,total_deaths sim81,total_deaths sim82,total_deaths sim83,total_deaths sim84,total_deaths sim85,total_deaths sim86,total_deaths sim87,total_deaths sim88,total_deaths sim89,total_deaths sim90,total_deaths sim91,total_deaths sim92,total_deaths sim93,total_deaths sim94,total_deaths sim95,total_deaths sim96,total_deaths sim97,total_deaths sim98,total_deaths sim99
2020-05-15,Europe,Turkey,None,4032.0,3992.0,4401.0,3990.0,4086.0,4370.0,3991.0,3987.0,4326.0,4660.0,5011.0,3893.0,4986.0,4171.0,4545.0,4355.0,4014.0,4083.0,4580.0,3998.0,4003.0,3796.0,4786.0,4005.0,3648.0,4257.0,3999.0,1514.0,4028.0,4970.0,4030.0,4976.0,3637.0,4009.0,3509.0,4421.0,4831.0,4533.0,4002.0,4086.0,4572.0,4014.0,4763.0,4001.0,4023.0,4012.0,4453.0,4064.0,4249.0,4800.0,4267.0,4089.0,4018.0,4729.0,4311.0,4154.0,4176.0,5263.0,4747.0,3667.0,4106.0,4019.0,4703.0,4144.0,4942.0,3911.0,4238.0,4046.0,4199.0,3518.0,4422.0,4664.0,4348.0,4408.0,3618.0,4140.0,3893.0,4027.0,4192.0,1198.0,3995.0,4195.0,4960.0,4161.0,4551.0,4347.0,4163.0,1237.0,4001.0,4700.0,4229.0,3590.0,3572.0,4517.0,4379.0,4626.0,4179.0,4282.0,4198.0,4444.0
2020-05-16,Europe,Turkey,None,4067.0,4021.0,4473.0,4025.0,4127.0,4439.0,4019.0,4015.0,4390.0,4766.0,5171.0,3916.0,5143.0,4219.0,4635.0,4422.0,4048.0,4125.0,4675.0,4028.0,4035.0,3824.0,4909.0,4037.0,3670.0,4313.0,4030.0,1515.0,4064.0,5124.0,4065.0,5131.0,3659.0,4041.0,3530.0,4495.0,4962.0,4622.0,4033.0,4129.0,4665.0,4047.0,4883.0,4032.0,4056.0,4044.0,4531.0,4104.0,4304.0,4924.0,4295.0,4131.0,4052.0,4844.0,4374.0,4201.0,4228.0,5275.0,4864.0,3691.0,4149.0,4054.0,4814.0,4191.0,5091.0,3938.0,4293.0,4083.0,4250.0,3536.0,4497.0,4772.0,4417.0,4481.0,3639.0,4186.0,3909.0,4060.0,4243.0,1199.0,4025.0,4251.0,5112.0,4217.0,4642.0,4414.0,4212.0,1238.0,4032.0,4811.0,4283.0,3615.0,3596.0,4604.0,4450.0,4726.0,4229.0,4341.0,4259.0,4521.0
2020-05-17,Europe,Turkey,None,4098.0,4048.0,4542.0,4057.0,4166.0,4505.0,4046.0,4041.0,4451.0,4869.0,5330.0,3937.0,5299.0,4265.0,4722.0,4486.0,4079.0,4164.0,4767.0,4056.0,4065.0,3850.0,5031.0,4067.0,3692.0,4368.0,4058.0,1515.0,4097.0,5277.0,4098.0,5286.0,3680.0,4071.0,3550.0,4567.0,5092.0,4708.0,4062.0,4170.0,4755.0,4078.0,5002.0,4060.0,4086.0,4075.0,4607.0,4142.0,4357.0,5047.0,4323.0,4171.0,4083.0,4957.0,4434.0,4246.0,4279.0,5287.0,4979.0,3713.0,4189.0,4087.0,4923.0,4235.0,5238.0,3962.0,4346.0,4118.0,4299.0,3553.0,4568.0,4880.0,4483.0,4551.0,3660.0,4229.0,3923.0,4090.0,4291.0,1199.0,4053.0,4305.0,5264.0,4272.0,4731.0,4479.0,4259.0,1238.0,4061.0,4920.0,4335.0,3638.0,3618.0,4688.0,4518.0,4825.0,4278.0,4398.0,4319.0,4596.0
2020-05-18,Europe,Turkey,None,4127.0,4073.0,4609.0,4087.0,4202.0,4569.0,4070.0,4065.0,4510.0,4970.0,5490.0,3956.0,5454.0,4308.0,4806.0,4548.0,4108.0,4202.0,4857.0,4082.0,4092.0,3875.0,5151.0,4094.0,3713.0,4420.0,4084.0,1516.0,4128.0,5429.0,4129.0,5440.0,3701.0,4098.0,3569.0,4636.0,5220.0,4792.0,4089.0,4209.0,4843.0,4107.0,5119.0,4087.0,4114.0,4103.0,4679.0,4177.0,4408.0,5168.0,4349.0,4208.0,4111.0,5067.0,4491.0,4288.0,4327.0,5298.0,5092.0,3735.0,4227.0,4117.0,5030.0,4276.0,5385.0,3984.0,4396.0,4151.0,4345.0,3569.0,4638.0,4985.0,4547.0,4619.0,3679.0,4270.0,3936.0,4119.0,4336.0,1199.0,4078.0,4356.0,5415.0,4324.0,4818.0,4541.0,4303.0,1239.0,4088.0,5026.0,4384.0,3660.0,3640.0,4770.0,4584.0,4921.0,4324.0,4452.0,4377.0,4667.0
2020-05-19,Europe,Turkey,None,4154.0,4096.0,4674.0,4115.0,4236.0,4630.0,4092.0,4086.0,4566.0,5069.0,5648.0,3973.0,5609.0,4349.0,4888.0,4608.0,4134.0,4237.0,4945.0,4106.0,4117.0,3899.0,5269.0,4120.0,3732.0,4469.0,4108.0,1516.0,4157.0,5580.0,4158.0,5593.0,3720.0,4123.0,3587.0,4702.0,5346.0,4873.0,4114.0,4246.0,4929.0,4133.0,5233.0,4112.0,4139.0,4129.0,4750.0,4211.0,4456.0,5288.0,4373.0,4243.0,4138.0,5176.0,4546.0,4328.0,4373.0,5307.0,5203.0,3755.0,4263.0,4146.0,5135.0,4315.0,5530.0,4004.0,4443.0,4182.0,4389.0,3585.0,4705.0,5088.0,4609.0,4684.0,3697.0,4309.0,3946.0,4145.0,4379.0,1200.0,4102.0,4405.0,5565.0,4374.0,4902.0,4600.0,4345.0,1239.0,4113.0,5130.0,4431.0,3681.0,3660.0,4849.0,4648.0,5014.0,4368.0,4503.0,4433.0,4737.0
2020-05-20,Europe,Turkey,None,4179.0,4116.0,4736.0,4142.0,4268.0,4688.0,4113.0,4106.0,4620.0,5166.0,5805.0,3988.0,5762.0,4388.0,4968.0,4665.0,4159.0,4270.0,5030.0,4128.0,4141.0,3921.0,5385.0,4144.0,3751.0,4516.0,4130.0,1517.0,4184.0,5731.0,4184.0,5745.0,3738.0,4147.0,3604.0,4767.0,5470.0,4951.0,4137.0,4281.0,5012.0,4158.0,5346.0,4134.0,4163.0,4154.0,4818.0,4242.0,4502.0,5405.0,4397.0,4276.0,4163.0,5282.0,4599.0,4365.0,4417.0,5316.0,5312.0,3775.0,4296.0,4172.0,5237.0,4352.0,5674.0,4022.0,4488.0,4211.0,4430.0,3599.0,4769.0,5189.0,4668.0,4747.0,3715.0,4345.0,3956.0,4169.0,4420.0,1200.0,4123.0,4452.0,5713.0,4423.0,4984.0,4657.0,4385.0,1239.0,4136.0,5232.0,4475.0,3701.0,3679.0,4926.0,4708.0,5105.0,4409.0,4552.0,4487.0,4804.0
2020-05-21,Europe,Turkey,None,4202.0,4135.0,4795.0,4167.0,4298.0,4744.0,4131.0,4124.0,4671.0,5260.0,5962.0,4002.0,5914.0,4424.0,5045.0,4719.0,4182.0,4301.0,5112.0,4148.0,4162.0,3943.0,5499.0,4166.0,3769.0,4561.0,4151.0,1517.0,4209.0,5880.0,4209.0,5896.0,3755.0,4169.0,3620.0,4828.0,5593.0,5027.0,4158.0,4313.0,5092.0,4182.0,5456.0,4155.0,4184.0,4176.0,4883.0,4271.0,4546.0,5521.0,4420.0,4308.0,4186.0,5387.0,4648.0,4401.0,4459.0,5324.0,5418.0,3793.0,4328.0,4197.0,5338.0,4387.0,5816.0,4039.0,4531.0,4238.0,4469.0,3613.0,4831.0,5288.0,4726.0,4807.0,3732.0,4379.0,3964.0,4191.0,4459.0,1200.0,4143.0,4496.0,5860.0,4469.0,5064.0,4712.0,4423.0,1239.0,4157.0,5332.0,4517.0,3720.0,3698.0,5001.0,4767.0,5193.0,4449.0,4599.0,4539.0,4868.0
2020-05-22,Europe,Turkey,None,4224.0,4153.0,4852.0,4190.0,4327.0,4798.0,4148.0,4140.0,4720.0,5352.0,6117.0,4015.0,6065.0,4459.0,5120.0,4771.0,4204.0,4331.0,5192.0,4166.0,4182.0,3963.0,5610.0,4186.0,3786.0,4603.0,4169.0,1517.0,4232.0,6027.0,4232.0,6045.0,3772.0,4188.0,3635.0,4887.0,5714.0,5101.0,4178.0,4344.0,5169.0,4203.0,5564.0,4175.0,4204.0,4197.0,4946.0,4299.0,4587.0,5634.0,4441.0,4337.0,4207.0,5489.0,4696.0,4434.0,4499.0,5331.0,5522.0,3811.0,4357.0,4220.0,5436.0,4420.0,5957.0,4055.0,4572.0,4263.0,4507.0,3626.0,4890.0,5385.0,4781.0,4865.0,3748.0,4412.0,3971.0,4211.0,4495.0,1200.0,4161.0,4539.0,6007.0,4514.0,5141.0,4764.0,4459.0,1240.0,4176.0,5430.0,4557.0,3738.0,3715.0,5073.0,4822.0,5279.0,4487.0,4643.0,4589.0,4930.0
2020-05-23,Europe,Turkey,None,4243.0,4168.0,4906.0,4212.0,4353.0,4849.0,4163.0,4154.0,4766.0,5441.0,6271.0,4026.0,6216.0,4491.0,5192.0,4821.0,4223.0,4359.0,5270.0,4183.0,4201.0,3983.0,5720.0,4205.0,3802.0,4643.0,4186.0,1518.0,4254.0,6174.0,4253.0,6194.0,3787.0,4207.0,3649.0,4944.0,5832.0,5172.0,4195.0,4373.0,5244.0,4223.0,5669.0,4192.0,4222.0,4216.0,5006.0,4324.0,4626.0,5745.0,4461.0,4365.0,4226.0,5589.0,4741.0,4466.0,4538.0,5338.0,5624.0,3828.0,4385.0,4242.0,5532.0,4451.0,6097.0,4069.0,4610.0,4286.0,4542.0,3639.0,4947.0,5480.0,4833.0,4920.0,3763.0,4442.0,3977.0,4230.0,4530.0,1201.0,4177.0,4579.0,6152.0,4556.0,5216.0,4814.0,4492.0,1240.0,4194.0,5525.0,4595.0,3755.0,3731.0,5143.0,4876.0,5363.0,4522.0,4686.0,4638.0,4989.0
2020-05-24,Europe,Turkey,None,4261.0,4183.0,4958.0,4232.0,4378.0,4898.0,4177.0,4168.0,4811.0,5529.0,6425.0,4036.0,6365.0,4522.0,5261.0,4868.0,4242.0,4385.0,5345.0,4198.0,4218.0,4001.0,5827.0,4222.0,3817.0,4681.0,4202.0,1518.0,4274.0,6319.0,4273.0,6342.0,3802.0,4224.0,3662.0,4998.0,5948.0,5241.0,4212.0,4401.0,5316.0,4241.0,5773.0,4209.0,4239.0,4233.0,5064.0,4348.0,4663.0,5854.0,4481.0,4391.0,4244.0,5686.0,4785.0,4495.0,4575.0,5344.0,5724.0,3843.0,4411.0,4262.0,5626.0,4480.0,6236.0,4082.0,4647.0,4308.0,4575.0,3651.0,5001.0,5573.0,4884.0,4973.0,3777.0,4470.0,3982.0,4247.0,4562.0,1201.0,4192.0,4618.0,6295.0,4597.0,5288.0,4861.0,4525.0,1240.0,4210.0,5618.0,4631.0,3771.0,3747.0,5210.0,4928.0,5444.0,4556.0,4726.0,4685.0,5046.0
