Afghanistan, ['Afghanistan']
Albania, ['Albania']
Algeria, ['Algeria']
Andorra, ['Andorra']
Angola, ['Angola']
Antigua and Barbuda, ['Antigua and Barbuda']
Argentina, ['Argentina']
Armenia, ['Armenia']
Australia, ['Australia']
Austria, ['Austria']
Azerbaijan, ['Azerbaijan']
Bahamas, ['Bahamas']
Bahrain, ['Bahrain']
Bangladesh, ['Bangladesh']
Barbados, ['Barbados']
Belarus, ['Belarus']
Belgium, ['Belgium']
Belize, ['Belize']
Benin, ['Benin']
Bhutan, ['Bhutan']
Bolivia, ['Bolivia']
Bosnia and Herzegovina, ['Bosnia and Herzegovina']
Botswana, ['Botswana']
Brazil, ['Brazil']
British Virgin Islands, ['British Virgin Islands']
Brunei Darussalam, ['Brunei Darussalam']
Bulgaria, ['Bulgaria']
Burkina Faso, ['Burkina Faso']
Burundi, ['Burundi']
Cambodia, ['Cambodia']
Cameroon, ['Cameroon']
Canada, ['Canada']
Cape Verde, ['Cape Verde']
Cayman Islands, ['Cayman Islands']
Central African Republic, ['Central African Republic']
Chad, ['Chad']
Chile, ['Chile']
China, ['China']
Colombia, ['Colombia']
Comoros, ['Comoros']
Costa Rica, ['Costa Rica']
Croatia, ['Croatia']
Cuba, ['Cuba']
Cyprus, ['Cyprus']
Czech Republic, ['Czech Republic']
Denmark, ['Denmark']
Djibouti, ['Djibouti']
Dominica, ['Dominica']
Dominican Republic, ['Dominican Republic']
Ecuador, ['Ecuador']
Egypt, ['Egypt']
El Salvador, ['El Salvador']
Equatorial Guinea, ['Equatorial Guinea']
Eritrea, ['Eritrea']
Estonia, ['Estonia']
Ethiopia, ['Ethiopia']
Falkland Islands (Malvinas), ['Falkland Islands (Malvinas)']
Fiji, ['Fiji']
Finland, ['Finland']
France, ['France']
French Guiana, ['French Guiana']
French Polynesia, ['French Polynesia']
Gabon, ['Gabon']
Gambia, ['Gambia']
Georgia, ['Georgia']
Germany, ['Germany']
Ghana, ['Ghana']
Greece, ['Greece']
Grenada, ['Grenada']
Guam, ['Guam']
Guatemala, ['Guatemala']
Guinea, ['Guinea']
Guinea-Bissau, ['Guinea-Bissau']
Guyana, ['Guyana']
Haiti, ['Haiti']
Honduras, ['Honduras']
Hungary, ['Hungary']
Iceland, ['Iceland']
India, ['India']
Indonesia, ['Indonesia']
